"id","part","m","int_t","target_n","beta_m","beta_s","v_sh","v_r","setup_r_a","setup_r_b","exp_t","thr"
1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,2,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,3,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,4,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,5,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,6,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,7,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,8,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,9,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,10,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
2,1,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,2,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,3,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,4,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,5,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,6,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,7,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,8,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,9,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
2,10,30,0.2,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
3,1,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,2,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,3,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,4,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,5,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,6,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,7,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,8,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,9,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
3,10,10,0.5,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
4,1,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,2,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,3,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,4,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,5,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,6,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
