"","id","part","m","int_t","target_n","beta_m","beta_s","v_sh","v_r","setup_r_a","setup_r_b","exp_t","thr","m_p","target_n_p"
"1",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,30
"1.1",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,30
"1.2",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,30
"1.3",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,30
"1.4",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,30
"1.5",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,30
"1.6",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,30
"1.7",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,30
"1.8",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,40
"1.9",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,40
"1.10",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,40
"1.11",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,40
"1.12",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,40
"1.13",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,40
"1.14",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,40
"1.15",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,40
"1.16",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,50
"1.17",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,50
"1.18",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,50
"1.19",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,50
"1.20",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,50
"1.21",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,50
"1.22",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,50
"1.23",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,50
"1.24",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,60
"1.25",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,60
"1.26",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,60
"1.27",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,60
"1.28",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,60
"1.29",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,60
"1.30",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,60
"1.31",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,60
"1.32",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,70
"1.33",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,70
"1.34",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,70
"1.35",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,70
"1.36",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,70
"1.37",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,70
"1.38",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,70
"1.39",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,70
"1.40",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,80
"1.41",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,80
"1.42",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,80
"1.43",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,80
"1.44",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,80
"1.45",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,80
"1.46",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,80
"1.47",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,80
"1.48",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,90
"1.49",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,90
"1.50",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,90
"1.51",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,90
"1.52",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,90
"1.53",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,90
"1.54",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,90
"1.55",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,90
"1.56",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,100
"1.57",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,100
"1.58",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,100
"1.59",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,6,100
"1.60",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,7,100
"1.61",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,8,100
"1.62",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,9,100
"1.63",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,10,100
"1.64",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,3,110
"1.65",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,4,110
"1.66",1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078,5,110
